City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
533,Barra,BR,79.41,broken clouds,-11.0894,-43.1417,Motel Albatroz
534,Beira,MZ,75.76,clear sky,-19.8436,34.8389,Beira Terrace Hotel
538,Hervey Bay,AU,77.11,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
546,Mitu,CO,77.74,light rain,1.1983,-70.1733,
548,Taruma,BR,77.92,moderate rain,-22.7467,-50.5772,Hotel Tarumã Alvorada
558,Kidal,ML,87.57,scattered clouds,18.4411,1.4078,
562,Bousso,TD,81.64,broken clouds,10.4795,16.7117,
564,Gamba,GA,75.99,overcast clouds,-2.65,10.0,
569,Ballina,AU,80.78,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
575,Mpulungu,ZM,79.36,scattered clouds,-8.7623,31.1141,Chela moche guest house
580,Springdale,US,80.33,overcast clouds,36.1867,-94.1288,Springdale Inn
582,Casino,AU,80.56,broken clouds,-28.8667,153.05,Squatters Homestead Motel
590,Amahai,ID,77.99,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
598,Gandiaye,SN,89.71,overcast clouds,14.2333,-16.2667,Mairie de Gandiaye
604,Lorengau,PG,82.81,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
605,Umm Lajj,SA,78.24,clear sky,25.0213,37.2685,Moon light Furnished Units
607,Mount Isa,AU,80.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
609,Eyl,SO,77.5,few clouds,7.9803,49.8164,Amiin Hotel
611,Dakar,SN,83.28,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
617,Isabela,PH,75.25,overcast clouds,6.7085,121.9711,Isawad Resort
621,Kangaba,ML,78.55,light rain,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
622,Ratnapura,LK,75.02,overcast clouds,6.6828,80.3992,Hotel Helenium
624,Oriximina,BR,81.32,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
627,Bagamoyo,TZ,77.41,clear sky,-6.4333,38.9,Be Swahilid B and B
630,Voh,NC,78.51,clear sky,-20.9667,164.7,Le gîte du Koniambo
635,Matara,LK,77.31,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
636,Buala,SB,84.11,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
639,Cururupu,BR,77.74,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
643,Qui Nhon,VN,76.73,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
645,Innisfail,AU,78.75,scattered clouds,-17.5333,146.0333,Moondarra Motel
651,Allada,BJ,79.56,overcast clouds,6.6655,2.1514,Royaume hotel d' Allada
654,Bilma,NE,82.74,clear sky,18.6853,12.9164,Expeditions Ténére voyages
656,Salinopolis,BR,81.18,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
658,Siguiri,GN,77.9,overcast clouds,11.6667,-9.5,
661,Saint-Louis,SN,89.24,broken clouds,16.3333,-15.0,
664,Kattivakkam,IN,82.49,overcast clouds,13.2167,80.3167,Euronova Freezer
668,Jacareacanga,BR,81.32,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
670,Sonoita,MX,83.53,broken clouds,31.85,-112.8333,Hotel Nora
676,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
677,Lake Havasu City,US,84.81,clear sky,34.4839,-114.3224,Heat Hotel
678,Itaituba,BR,80.76,broken clouds,-4.2761,-55.9836,Hotel Campos
679,Savannah Bight,HN,89.65,broken clouds,16.45,-85.85,Villa on Dunbar Rock
680,Tsaratanana,MG,75.11,scattered clouds,-16.7833,47.65,
682,Bucerias,MX,88.99,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
683,Koundara,GN,79.92,light rain,12.4833,-13.3,
686,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
687,Formosa Do Rio Preto,BR,75.29,overcast clouds,-11.0483,-45.1931,Porto Center Hotel
690,Sabang,ID,80.33,overcast clouds,5.8933,95.3214,Hotel Citra
691,Calera,US,76.96,clear sky,33.1029,-86.7536,Quality Inn Calera I-65 Exit 231
692,Santa Maria Do Para,BR,78.12,light rain,-1.3503,-47.5756,Shopping Motel (Adults Only)
699,Ishigaki,JP,75.33,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
708,San Andres,CO,86.02,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
709,Labuhan,ID,78.93,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
711,Sikasso,ML,79.02,overcast clouds,10.9167,-7.0,
712,Segou,ML,83.7,overcast clouds,13.4317,-6.2157,Comme chez soi
715,Laurinburg,US,75.24,clear sky,34.7741,-79.4628,"Holiday Inn Express & Suites Laurinburg, an IHG Hotel"
