City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Cidreira,BR,2021-10-23 17:25:23,-30.1811,-50.2056,71.37,75,75,11.16
68,Port Blair,IN,2021-10-23 17:20:42,11.6667,92.75,80.31,78,88,1.63
69,Castro,BR,2021-10-23 17:25:23,-24.7911,-50.0119,76.15,44,87,9.73
70,Banjar,ID,2021-10-23 17:25:23,-8.19,114.9675,78.66,87,93,6.31
71,Ushuaia,AR,2021-10-23 17:25:24,-54.8,-68.3,38.86,81,75,13.8
72,Rikitea,PF,2021-10-23 17:23:10,-23.1203,-134.9692,74.5,82,67,19.71
73,Saint-Philippe,RE,2021-10-23 17:25:24,-21.3585,55.7679,75.47,81,79,11.99
74,Guerrero Negro,MX,2021-10-23 17:25:25,27.9769,-114.0611,69.96,66,4,16.28
75,Ribeira Grande,PT,2021-10-23 17:25:25,38.5167,-28.7,72.0,60,20,10.36
76,Tanda,IN,2021-10-23 17:25:25,26.55,82.65,74.14,64,0,3.15
77,Ilinskiy,RU,2021-10-23 17:25:26,55.619,38.1182,44.94,70,40,2.24
78,Kamenka,RU,2021-10-23 17:25:26,51.3223,42.7678,53.83,70,100,14.58
79,Duayaw Nkwanta,GH,2021-10-23 17:25:26,7.1724,-2.1028,76.06,93,80,2.42
80,Saskylakh,RU,2021-10-23 17:25:27,71.9167,114.0833,6.89,95,100,15.28
81,Acapulco,MX,2021-10-23 17:22:32,16.8634,-99.8901,75.02,94,90,13.8
82,Butaritari,KI,2021-10-23 17:25:27,3.0707,172.7902,81.3,71,76,8.41
83,Srednekolymsk,RU,2021-10-23 17:25:27,67.45,153.6833,-13.92,99,62,3.8
84,General Roca,AR,2021-10-23 17:25:28,-39.0333,-67.5833,73.62,15,2,19.53
85,Severo-Kurilsk,RU,2021-10-23 17:25:28,50.6789,156.125,37.9,80,50,9.46
86,Alpena,US,2021-10-23 17:20:53,45.0617,-83.4327,52.11,68,40,3.0
87,Klyuchi,RU,2021-10-23 17:25:29,52.2667,79.1667,47.16,55,99,19.26
88,Luchow,DE,2021-10-23 17:25:29,52.9667,11.15,50.11,89,90,6.02
89,Yar-Sale,RU,2021-10-23 17:25:29,66.8333,70.8333,30.54,92,100,8.84
90,Mataura,NZ,2021-10-23 17:25:30,-46.1927,168.8643,49.78,92,100,0.81
91,Alofi,NU,2021-10-23 17:25:30,-19.0595,-169.9187,66.09,82,28,6.91
92,Kaeo,NZ,2021-10-23 17:25:30,-35.1,173.7833,62.33,98,100,5.14
93,Kaitangata,NZ,2021-10-23 17:25:31,-46.2817,169.8464,49.91,91,100,2.57
94,Fortuna,US,2021-10-23 17:25:31,40.5982,-124.1573,57.65,86,90,7.0
95,Ahipara,NZ,2021-10-23 17:25:21,-35.1667,173.1667,60.21,97,98,1.83
96,Avarua,CK,2021-10-23 17:25:31,-21.2078,-159.775,69.85,68,20,5.75
97,Sao Joao Da Barra,BR,2021-10-23 17:25:32,-21.6403,-41.0511,78.89,78,29,15.46
98,Ancud,CL,2021-10-23 17:25:32,-41.8697,-73.8203,60.42,58,15,10.58
99,Aksay,RU,2021-10-23 17:25:32,47.26,39.87,59.25,59,100,11.99
100,Bengkulu,ID,2021-10-23 17:23:17,-3.8004,102.2655,75.97,91,64,4.36
101,Yulara,AU,2021-10-23 17:25:33,-25.2406,130.9889,69.64,32,0,10.36
102,Mocuba,MZ,2021-10-23 17:25:33,-16.8392,36.9856,81.03,55,27,9.71
103,Cap Malheureux,MU,2021-10-23 17:25:33,-19.9842,57.6142,75.69,74,3,4.0
104,Kharhial,IN,2021-10-23 17:25:34,20.2833,82.7667,69.35,68,9,1.54
105,Cape Town,ZA,2021-10-23 17:23:23,-33.9258,18.4232,62.1,66,75,1.01
106,Talakan,RU,2021-10-23 17:25:34,50.3167,130.3667,31.62,92,6,1.59
107,Nizhneudinsk,RU,2021-10-23 17:25:35,54.9076,99.0276,33.13,92,69,3.38
108,Yurla,RU,2021-10-23 17:25:35,59.3259,54.3223,38.7,81,35,10.04
